Front,Back
Which tool monitors performance counters in Windows?,perfmon
Which Windows feature lets you mount ISO files?,Built‑in Explorer 'Mount'
What is a restore from bare metal?,Reinstall to a blank drive from a full system image
What is the purpose of a patch panel label scheme?,Eases maintenance and troubleshooting
How do you safely clean a laser printer?,Use approved toner vacuum and lint‑free cloth; avoid compressed air
What is duplex printing?,Automatic printing on both sides of paper
What is collating?,Printing sets of multi‑page documents in order
What is spooling?,Queueing print jobs on disk before printing
Which command shows Windows OS version details?,winver (GUI) or 'systeminfo'
What is the advantage of SSD TRIM?,Maintains performance by clearing unused blocks
Which RAID levels provide redundancy?,"RAID 1, 5, 6, 10 (not RAID 0)"
What is throughput vs latency?,Throughput = volume over time; latency = delay
What is cable crosstalk?,Signal interference between adjacent pairs
What is shielding used for?,Reduce EMI/RFI on cabling
What is a keystone jack?,Modular snap‑in connector for wall plates/patch panels
What is a demarcation point?,Where provider’s network ends and customer’s begins
What is a smart jack?,Provider‑managed interface with diagnostics
What is firmware?,Software programmed into hardware devices
What does BIOS stand for?,Basic Input/Output System
What is UEFI?,Modern firmware interface replacing legacy BIOS
What is TPM used for?,Secure cryptographic operations and key storage
What is BitLocker recovery key?,Backup key to unlock encrypted drive
What is Kerberos used for in AD?,Authentication protocol for domain logons
Endpoint hardening best practice #438: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
Endpoint hardening best practice #439: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
Endpoint hardening best practice #440: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
Endpoint hardening best practice #441: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
Endpoint hardening best practice #442: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
Endpoint hardening best practice #443: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
Endpoint hardening best practice #444: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
Endpoint hardening best practice #445: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
Endpoint hardening best practice #446: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
Endpoint hardening best practice #447: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
Endpoint hardening best practice #448: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
Endpoint hardening best practice #449: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
Endpoint hardening best practice #450: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
Endpoint hardening best practice #451: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
Endpoint hardening best practice #452: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
Endpoint hardening best practice #453: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
Endpoint hardening best practice #454: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
Endpoint hardening best practice #455: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
Endpoint hardening best practice #456: name one action,"Apply patches promptly, enable MFA, use least privilege, and enforce strong passwords"
